,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,매수,매도,거래금액,전용면적(평),평당가격,계약년도,계약월,주소,계약년월일
88,제주특별자치도 서귀포시 표선면 표선리,845,845,0,해비치빌오피스텔,76.06,201611,4,"18,000",2,-,-,2014,표선중앙로110번길 5,-,-,-,,,180000000,23.00815,7823314.781935966,2016,11,제주특별자치도 서귀포시 표선면 표선리 표선중앙로110번길 5,2016-11-04
89,제주특별자치도 제주시 이도일동,1784-17,1784,17,진용이지빌2차,84.57,201611,4,"22,000",2,-,-,2016,광양6길 28,-,-,-,,,220000000,25.582424999999997,8599653.863931978,2016,11,제주특별자치도 제주시 이도일동 광양6길 28,2016-11-04
90,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0,201611,2,"7,700",6,-,-,1991,도령로 54,-,-,-,,,77000000,9.075,8484848.484848486,2016,11,제주특별자치도 제주시 노형동 도령로 54,2016-11-02
91,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,42.31,201611,2,"9,000",3,-,-,1991,도령로 54,-,-,-,,,90000000,12.798775000000001,7031922.977003658,2016,11,제주특별자치도 제주시 노형동 도령로 54,2016-11-02
92,제주특별자치도 제주시 노형동,1294-4,1294,4,노형 에코하임,84.97,201610,31,"32,600",16,-,-,2012,도령로 37,-,-,-,,,326000000,25.703425,12683134.64061696,2016,10,제주특별자치도 제주시 노형동 도령로 37,2016-10-31
93,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.14,201610,28,"8,000",11,-,-,2004,연북로 41,-,-,-,,,80000000,6.09235,13131221.942271866,2016,10,제주특별자치도 제주시 노형동 연북로 41,2016-10-28
94,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,73.05,201610,28,"5,500",10,-,-,1992,중정로 123,-,-,-,,,55000000,22.097624999999997,2488955.2610291834,2016,10,제주특별자치도 서귀포시 서귀동 중정로 123,2016-10-28
95,제주특별자치도 제주시 연동,306-12,306,12,진호 케스텔,31.58,201610,27,"8,000",2,-,-,2003,사장길 37,-,-,-,,,80000000,9.55295,8374376.501499537,2016,10,제주특별자치도 제주시 연동 사장길 37,2016-10-27
96,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0,201610,26,"8,000",2,-,-,1991,도령로 54,-,-,-,,,80000000,9.075,8815426.99724518,2016,10,제주특별자치도 제주시 노형동 도령로 54,2016-10-26
97,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.14,201610,26,"8,000",13,-,-,2004,연북로 45,-,-,-,,,80000000,6.09235,13131221.942271866,2016,10,제주특별자치도 제주시 노형동 연북로 45,2016-10-26
98,제주특별자치도 제주시 연동,272-33,272,33,로얄쇼핑센타및오피스텔,28.98,201610,25,"7,000",5,-,-,1992,신대로12길 51,-,-,-,,,70000000,8.76645,7984988.222142371,2016,10,제주특별자치도 제주시 연동 신대로12길 51,2016-10-25
99,제주특별자치도 제주시 연동,272-33,272,33,로얄쇼핑센타및오피스텔,29.16,201610,24,"4,800",5,-,-,1992,신대로12길 51,-,-,-,,,48000000,8.8209,5441621.603237765,2016,10,제주특별자치도 제주시 연동 신대로12길 51,2016-10-24
100,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,44.0,201610,24,"5,000",7,-,-,1992,중정로 123,-,-,-,,,50000000,13.309999999999999,3756574.004507889,2016,10,제주특별자치도 서귀포시 서귀동 중정로 123,2016-10-24
101,제주특별자치도 제주시 오라이동,1361,1361,0,세일파크빌,84.02,201610,23,"24,800",2,-,-,2015, ,-,-,-,,,248000000,25.41605,9757613.79128543,2016,10,제주특별자치도 제주시 오라이동  ,2016-10-23
102,제주특별자치도 제주시 연동,1370-3,1370,3,에코파인,84.86,201610,22,"35,600",8,-,-,2015, ,-,-,-,,,356000000,25.67015,13868247.750792263,2016,10,제주특별자치도 제주시 연동  ,2016-10-22
103,제주특별자치도 제주시 연동,1954-3,1954,3,(1954-3),31.78,201610,21,"12,633",4,-,-,2016,남녕로 34,-,-,-,,,126330000,9.61345,13140963.961949144,2016,10,제주특별자치도 제주시 연동 남녕로 34,2016-10-21
104,제주특별자치도 제주시 노형동,2576-3,2576,3,정현빌,83.2,201610,21,"23,900",5,-,-,2013,달마루길 28,-,-,-,,,239000000,25.168,9496185.63254927,2016,10,제주특별자치도 제주시 노형동 달마루길 28,2016-10-21
105,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0,201610,21,"7,800",3,-,-,1991,도령로 54,-,-,-,,,78000000,9.075,8595041.32231405,2016,10,제주특별자치도 제주시 노형동 도령로 54,2016-10-21
106,제주특별자치도 제주시 노형동,709,709,0,에코트윈,84.37,201610,20,"33,000",10,-,-,2013,1100로 3308,-,-,-,,,330000000,25.521925,12930059.155020634,2016,10,제주특별자치도 제주시 노형동 1100로 3308,2016-10-20
107,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.92,201610,19,"18,639",7,-,-,2013,신광로 19,-,-,-,,,186390000,25.688299999999998,7255832.421763994,2016,10,제주특별자치도 제주시 연동 신광로 19,2016-10-19
