전용면적(㎡),계약년월,계약일,건축년도,거래금액,계약년도,계약월,시,읍면동
81.84,2016-06,16,2015,211700000,2016,6,서귀포시,동홍동
38.57,2016-06,13,1991,75000000,2016,6,제주시,노형동
18.66,2016-06,13,2004,80000000,2016,6,제주시,노형동
30.0,2016-06,10,1991,75000000,2016,6,제주시,노형동
73.47,2016-06,10,2015,240200000,2016,6,제주시,연동
84.98,2016-06,8,2014,210000000,2016,6,서귀포시,표선면
84.29,2016-06,7,2015,195000000,2016,6,제주시,연동
74.43,2016-06,7,2015,255000000,2016,6,제주시,연동
25.83,2016-06,4,2005,75000000,2016,6,서귀포시,서귀동
59.93,2016-06,3,2016,148320000,2016,6,제주시,외도일동
59.93,2016-06,3,2016,148320000,2016,6,제주시,외도일동
59.93,2016-06,2,2016,152950000,2016,6,제주시,외도일동
30.0,2016-06,2,1991,56000000,2016,6,제주시,노형동
59.93,2016-06,1,2016,155730000,2016,6,제주시,외도일동
84.92,2016-05,30,2013,220000000,2016,5,제주시,연동
64.0,2016-05,30,1991,112940000,2016,5,제주시,노형동
44.2,2016-05,26,2016,104750000,2016,5,제주시,외도일동
43.91,2016-05,26,2015,121000000,2016,5,서귀포시,중문동
59.93,2016-05,26,2016,162220000,2016,5,제주시,외도일동
39.92,2016-05,25,2003,110000000,2016,5,제주시,연동
44.2,2016-05,25,2016,101970000,2016,5,제주시,외도일동
61.36,2016-05,25,2016,152950000,2016,5,제주시,외도일동
44.2,2016-05,24,2016,113000000,2016,5,제주시,외도일동
61.36,2016-05,24,2016,160370000,2016,5,제주시,외도일동
59.93,2016-05,24,2016,160370000,2016,5,제주시,외도일동
83.2,2016-05,23,2013,203150000,2016,5,제주시,노형동
36.855,2016-05,23,1991,59000000,2016,5,제주시,노형동
18.66,2016-05,20,2004,69000000,2016,5,제주시,노형동
83.2,2016-05,20,2013,220000000,2016,5,제주시,노형동
61.36,2016-05,19,2016,155000000,2016,5,제주시,외도일동
52.62,2016-05,17,1994,40000000,2016,5,서귀포시,서귀동
32.0,2016-05,16,1992,32000000,2016,5,서귀포시,서귀동
21.75,2016-05,16,2011,95000000,2016,5,제주시,연동
31.5,2016-05,16,2001,68000000,2016,5,제주시,연동
18.98,2016-05,15,1991,23000000,2016,5,제주시,연동
27.38,2016-05,11,2004,106500000,2016,5,제주시,연동
20.14,2016-05,10,2004,79000000,2016,5,제주시,노형동
56.93,2016-05,10,2013,288000000,2016,5,서귀포시,서귀동
56.93,2016-05,10,2013,288000000,2016,5,서귀포시,서귀동
51.27,2016-05,10,2013,232000000,2016,5,서귀포시,서귀동
51.27,2016-05,10,2013,230000000,2016,5,서귀포시,서귀동
57.22,2016-05,10,2013,266000000,2016,5,서귀포시,서귀동
63.73,2016-05,10,2013,310000000,2016,5,서귀포시,서귀동
57.22,2016-05,10,2013,266000000,2016,5,서귀포시,서귀동
55.52,2016-05,10,2013,275000000,2016,5,서귀포시,서귀동
24.5,2016-05,10,2013,117000000,2016,5,서귀포시,서귀동
56.93,2016-05,10,2013,270000000,2016,5,서귀포시,서귀동
56.93,2016-05,10,2013,270000000,2016,5,서귀포시,서귀동
45.72,2016-05,10,2013,232000000,2016,5,서귀포시,서귀동
51.27,2016-05,10,2013,234000000,2016,5,서귀포시,서귀동
55.52,2016-05,10,2013,268000000,2016,5,서귀포시,서귀동
56.93,2016-05,10,2013,264000000,2016,5,서귀포시,서귀동
55.52,2016-05,10,2013,286000000,2016,5,서귀포시,서귀동
57.22,2016-05,10,2013,284000000,2016,5,서귀포시,서귀동
55.52,2016-05,10,2013,286000000,2016,5,서귀포시,서귀동
57.22,2016-05,10,2013,275000000,2016,5,서귀포시,서귀동
57.22,2016-05,10,2013,275000000,2016,5,서귀포시,서귀동
47.47,2016-05,10,2013,225000000,2016,5,서귀포시,서귀동
55.52,2016-05,10,2013,268000000,2016,5,서귀포시,서귀동
