NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
96,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,78.3100,202111,17,"19,278",3,-,-,2021,탑동로13길 39,-,직거래,-
97,제주특별자치도 제주시 외도일동,418-6,418,6,백강수피아 아파트5차,61.9400,202111,17,"25,000",9,-,-,2018,우정로4길 4,-,직거래,-
98,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,26.9500,202111,16,"5,000",6,-,-,1994,태평로 438,-,직거래,-
99,제주특별자치도 제주시 연동,260-30,260,30,제주 연동 일성 트루엘,37.4770,202111,16,"17,400",11,-,-,2019,삼무로1길 10-8,-,중개거래,제주 제주시
100,제주특별자치도 제주시 연동,260-30,260,30,제주 연동 일성 트루엘,37.4770,202111,16,"17,400",12,-,-,2019,삼무로1길 10-8,-,중개거래,제주 제주시
101,제주특별자치도 서귀포시 동홍동,386-1,386,1,동홍동코아루오션뷰오피스텔,84.0000,202111,15,"22,000",3,-,-,2017,태평로 499,20211228,중개거래,제주 서귀포시
102,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,72.3200,202111,15,"18,000",3,-,-,2021,탑동로13길 39,-,직거래,-
103,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,72.3200,202111,15,"19,278",3,-,-,2021,탑동로13길 39,-,직거래,-
104,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202111,15,"30,041",5,-,-,2021,탑동로13길 39,-,직거래,-
105,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,84.9000,202111,15,"19,278",3,-,-,2021,탑동로13길 39,-,직거래,-
106,제주특별자치도 제주시 오라일동,1085-4,1085,4,신화위더스빌 더샵 29차,77.2300,202111,13,"28,000",8,-,-,2017,신성로 6-1,-,중개거래,제주 제주시
107,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,78.3100,202111,12,"19,278",5,-,-,2021,탑동로13길 39,-,직거래,-
108,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,72.3200,202111,12,"19,278",2,-,-,2021,탑동로13길 39,-,직거래,-
109,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202111,12,"19,278",4,-,-,2021,탑동로13길 39,-,직거래,-
110,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,77.0300,202111,12,"19,278",4,-,-,2021,탑동로13길 39,-,직거래,-
111,제주특별자치도 제주시 일도이동,160-7,160,7,일도이동 해든빌 오피스텔,71.0525,202111,12,"24,000",9,-,-,2017, ,-,중개거래,제주 제주시
112,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,77.0300,202111,12,"18,000",3,-,-,2021,탑동로13길 39,-,직거래,-
113,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202111,12,"19,278",3,-,-,2021,탑동로13길 39,-,직거래,-
114,제주특별자치도 제주시 한림읍 한림리,1454-17,1454,17,한림오피스텔,48.4200,202111,12,"9,300",2,-,-,2018,한림남2길 23,-,직거래,-
115,제주특별자치도 제주시 오라이동,1357-4,1357,4,혜림 위더스빌,84.9200,202111,12,"23,000",5,-,-,2015,연사길 67,-,직거래,-
116,제주특별자치도 제주시 오라이동,1357-4,1357,4,혜림 위더스빌,84.9200,202111,12,"23,000",5,-,-,2015,연사길 67,-,중개거래,제주 제주시
117,제주특별자치도 제주시 삼양이동,2142-1,2142,1,삼화다온펠리스,42.8935,202111,12,"21,080",2,-,-,2019,지석2길 3,-,직거래,-
118,제주특별자치도 제주시 한림읍 한림리,1454-17,1454,17,한림오피스텔,48.8200,202111,12,"9,400",2,-,-,2018,한림남2길 23,-,직거래,-
119,제주특별자치도 제주시 한림읍 한림리,1454-17,1454,17,한림오피스텔,50.6700,202111,12,"9,800",2,-,-,2018,한림남2길 23,-,직거래,-
120,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,77.0300,202111,12,"19,278",3,-,-,2021,탑동로13길 39,-,직거래,-
121,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,77.0300,202111,12,"18,000",4,-,-,2021,탑동로13길 39,-,직거래,-
122,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,73.4300,202111,12,"18,000",5,-,-,2021,탑동로13길 39,-,직거래,-
123,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202111,12,"18,000",4,-,-,2021,탑동로13길 39,-,직거래,-
124,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,78.3100,202111,12,"18,000",5,-,-,2021,탑동로13길 39,-,직거래,-
125,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,73.4300,202111,12,"19,278",5,-,-,2021,탑동로13길 39,-,직거래,-
126,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,73.4300,202111,11,"18,000",2,-,-,2021,탑동로13길 39,-,직거래,-
127,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,73.4300,202111,11,"19,278",3,-,-,2021,탑동로13길 39,-,직거래,-
128,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,73.4300,202111,11,"19,278",2,-,-,2021,탑동로13길 39,-,직거래,-
129,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202111,11,"4,800",5,-,-,2004,연북로 45,-,중개거래,제주 제주시
130,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,78.3100,202111,11,"19,278",4,-,-,2021,탑동로13길 39,-,직거래,-
131,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,72.4100,202111,11,"19,278",4,-,-,2021,탑동로13길 39,-,직거래,-
132,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,73.4300,202111,11,"18,000",3,-,-,2021,탑동로13길 39,-,직거래,-
133,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202111,11,"18,000",2,-,-,2021,탑동로13길 39,-,직거래,-
134,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202111,11,"19,278",2,-,-,2021,탑동로13길 39,-,직거래,-
135,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,78.3100,202111,11,"18,000",4,-,-,2021,탑동로13길 39,20211119,직거래,-
136,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,72.3200,202111,11,"18,000",4,-,-,2021,탑동로13길 39,20211119,직거래,-
137,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,72.3200,202111,11,"19,278",4,-,-,2021,탑동로13길 39,-,직거래,-
138,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202111,9,"4,450",15,-,-,2004,연북로 45,-,중개거래,제주 제주시
