NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
866,제주특별자치도 제주시 도련일동,1731-14,1731,14,도련한양(도련별장맨션),84.9700,202502,22,"17,500",-,4,개인,개인,1997,삼봉로 137,-,중개거래,제주 제주시,25.04.17
867,제주특별자치도 제주시 도남동,63-2,63,2,파인즈아파트,84.2200,202502,21,"46,000",-,7,개인,개인,2016,도남로16길 23,-,중개거래,제주 제주시,25.03.10
868,제주특별자치도 서귀포시 서홍동,1598,1598,0,아우룸숲,58.7600,202502,21,"23,300",-,4,개인,개인,2016,홍중로 105,-,중개거래,제주 서귀포시,25.04.28
869,제주특별자치도 제주시 도련일동,1910,1910,0,제주삼화사랑으로부영8차,84.9933,202502,21,"60,400",803동,7,개인,개인,2016,화삼로 89,-,중개거래,제주 제주시,25.04.07
870,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.3616,202502,21,"51,000",-,1,개인,개인,2013,화삼로 12,20250221,중개거래,제주 제주시,-
871,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.3616,202502,21,"51,000",208,1,개인,개인,2013,화삼로 12,-,중개거래,제주 제주시,25.04.25
872,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,84.9626,202502,21,"37,000",102동,5,개인,개인,2019,일주동로 8547-10,-,중개거래,제주 서귀포시,25.03.17
873,제주특별자치도 제주시 연동,2331-9,2331,9,정광쉐르빌,130.9400,202502,21,"38,800",-,12,개인,개인,2005,도령로13길 6,-,중개거래,제주 제주시,25.03.17
874,제주특별자치도 제주시 연동,294-107,294,107,현암노블레스빌1차,69.0800,202502,20,"20,500",-,4,개인,개인,2005,신대로18길 22,-,중개거래,제주 제주시,25.04.14
875,제주특별자치도 제주시 일도이동,113-3,113,3,일도성환,59.9650,202502,20,"28,500",104,5,개인,개인,1995,태성로 23,-,중개거래,제주 제주시,25.03.26
